name,country
Tees Valley and Durham,England
Northumberland and Tyne and Wear,England
Cumbria,England
Greater Manchester,England
Lancashire,England
Cheshire,England
Merseyside,England
East Yorkshire and Northern Lincolnshire,England
North Yorkshire,England
South Yorkshire,England
West Yorkshire,England
Derbyshire and Nottinghamshire,England
"Leicestershire, Rutland and Northamptonshire",England
Lincolnshire,England
"Herefordshire, Worcestershire and Warwickshire",England
Shropshire and Staffordshire,England
West Midlands,England
East Anglia,England
Bedfordshire and Hertfordshire,England
Essex,England
Inner London - West,England
Inner London - East,England
Outer London - East and North East,England
Outer London - South,England
Outer London - West and North West,England
"Berkshire, Buckinghamshire and Oxfordshire",England
"Surrey, East and West Sussex",England
Hampshire and Isle of Wight,England
Kent,England
"Gloucestershire, Wiltshire and Bath/Bristol area",England
Dorset and Somerset,England
Cornwall and Isles of Scilly,England
Devon,England
West Wales,Wales
East Wales,Wales
North Eastern Scotland,Scotland
Highlands and Islands,Scotland
Eastern Scotland,Scotland
West Central Scotland,Scotland
Southern Scotland,Scotland
Northern Ireland,Northern Ireland
