,EAS,EUR,AFR,AMR,SAS,left,right
0,0.0,0.06060606060606061,0.030303030303030304,0.8787878787878788,0.030303030303030304,0.0,82571.0
8,0.0,0.05714285714285714,0.02857142857142857,0.8857142857142857,0.02857142857142857,83458.0,83611.0
31,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.861111111111111,0.027777777777777776,87790.0,88124.0
52,0.05405405405405406,0.05405405405405406,0.02702702702702703,0.8378378378378379,0.02702702702702703,91160.0,91287.0
57,0.0,0.06060606060606061,0.030303030303030304,0.8787878787878788,0.030303030303030304,91716.0,91718.0
265,0.0,0.03125,0.03125,0.90625,0.03125,125796.0,125942.0
292,0.0,0.03225806451612903,0.03225806451612903,0.9032258064516129,0.03225806451612903,127493.0,127539.0
321,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,130192.0,130198.0
341,0.8333333333333333,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,132196.0,132245.0
378,0.8235294117647058,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,135553.0,135680.0
388,0.8125,0.0625,0.0,0.0625,0.0625,137041.0,137080.0
531,0.7647058823529411,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,152884.0,152972.0
539,0.7222222222222222,0.05555555555555555,0.0,0.1111111111111111,0.1111111111111111,153469.0,153523.0
560,0.7058823529411764,0.058823529411764705,0.0,0.11764705882352941,0.11764705882352941,159867.0,159941.0
606,0.6470588235294118,0.058823529411764705,0.0,0.1764705882352941,0.11764705882352941,192192.0,192385.0
644,0.611111111111111,0.05555555555555555,0.0,0.2222222222222222,0.1111111111111111,195769.0,195849.0
746,0.5882352941176471,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,207700.0,207800.0
758,0.5,0.07142857142857142,0.0,0.2857142857142857,0.14285714285714285,208345.0,208346.0
819,0.46153846153846156,0.07692307692307693,0.0,0.3076923076923077,0.15384615384615385,212549.0,212589.0
835,0.30000000000000004,0.1,0.0,0.4,0.2,214179.0,214294.0
1280,0.3333333333333333,0.0,0.0,0.4444444444444444,0.2222222222222222,249418.0,249530.0
1298,0.4,0.0,0.0,0.4,0.2,250834.0,250903.0
1413,0.4545454545454546,0.0,0.0,0.36363636363636365,0.18181818181818182,257369.0,257388.0
1449,0.5,0.0,0.0,0.4,0.1,259436.0,259458.0
1454,0.4545454545454546,0.0,0.0,0.4545454545454546,0.09090909090909091,259928.0,259929.0
1463,0.4,0.0,0.0,0.5,0.1,260521.0,260567.0
1464,0.4545454545454546,0.0,0.0,0.4545454545454546,0.09090909090909091,260567.0,260624.0
1561,0.5,0.0,0.0,0.4,0.1,268332.0,268401.0
1586,0.5555555555555556,0.0,0.0,0.3333333333333333,0.1111111111111111,270785.0,271595.0
1611,0.6000000000000001,0.0,0.0,0.30000000000000004,0.1,274339.0,274434.0
1740,0.6666666666666666,0.0,0.0,0.2222222222222222,0.1111111111111111,286083.0,286148.0
1762,0.625,0.0,0.0,0.25,0.125,287287.0,287297.0
1768,0.8333333333333333,0.0,0.0,0.16666666666666666,0.0,287420.0,287453.0
1775,0.8,0.0,0.0,0.2,0.0,287752.0,287785.0
1780,0.0,0.029411764705882353,0.029411764705882353,0.9117647058823529,0.029411764705882353,288354.0,288449.0
1790,0.0,0.02857142857142857,0.02857142857142857,0.9142857142857143,0.02857142857142857,289064.0,289362.0
1870,0.0,0.027777777777777776,0.027777777777777776,0.9166666666666666,0.027777777777777776,296410.0,296419.0
1907,0.0,0.058823529411764705,0.029411764705882353,0.8823529411764706,0.029411764705882353,299587.0,299592.0
1908,0.14893617021276595,0.0425531914893617,0.02127659574468085,0.6808510638297872,0.10638297872340426,299592.0,299594.0
1918,0.14,0.08,0.02,0.64,0.12,299827.0,299835.0
1925,0.12727272727272726,0.07272727272727272,0.01818181818181818,0.6363636363636364,0.14545454545454545,300051.0,300079.0
1928,0.10294117647058823,0.19117647058823528,0.014705882352941176,0.5294117647058824,0.16176470588235295,300110.0,300156.0
1935,0.10144927536231885,0.2028985507246377,0.014492753623188406,0.5217391304347826,0.15942028985507248,300624.0,300652.0
1967,0.11428571428571428,0.19999999999999998,0.014285714285714285,0.5142857142857142,0.15714285714285714,301902.0,301975.0
2058,0.1267605633802817,0.1971830985915493,0.014084507042253521,0.5070422535211268,0.15492957746478875,308200.0,308221.0
2077,0.125,0.19444444444444442,0.027777777777777776,0.5,0.15277777777777776,309273.0,309405.0
2173,0.11428571428571428,0.19999999999999998,0.02857142857142857,0.5,0.15714285714285714,326168.0,326395.0
2194,0.1111111111111111,0.2222222222222222,0.027777777777777776,0.4861111111111111,0.15277777777777776,327819.0,327999.0
2230,0.10810810810810811,0.22972972972972974,0.02702702702702703,0.4864864864864865,0.14864864864864866,331153.0,331164.0
2234,0.10666666666666667,0.22666666666666668,0.02666666666666667,0.49333333333333335,0.14666666666666667,331833.0,331845.0
2246,0.10810810810810811,0.22972972972972974,0.02702702702702703,0.5,0.13513513513513514,332465.0,332637.0
2263,0.1095890410958904,0.2328767123287671,0.0273972602739726,0.4931506849315068,0.136986301369863,333497.0,333614.0
2298,0.10666666666666667,0.24000000000000002,0.02666666666666667,0.49333333333333335,0.13333333333333333,335928.0,335930.0
2326,0.10810810810810811,0.24324324324324326,0.02702702702702703,0.4864864864864865,0.13513513513513514,337568.0,337569.0
2327,0.029850746268656716,0.2537313432835821,0.029850746268656716,0.5373134328358209,0.14925373134328357,337569.0,337632.0
2348,0.0,0.24242424242424243,0.030303030303030304,0.5606060606060607,0.16666666666666669,339319.0,339368.0
2352,0.0,0.2537313432835821,0.029850746268656716,0.5522388059701493,0.16417910447761194,339485.0,339499.0
2353,0.0,0.24242424242424243,0.030303030303030304,0.5606060606060607,0.16666666666666669,339499.0,339755.0
2372,0.0,0.23076923076923078,0.03076923076923077,0.5692307692307692,0.16923076923076924,340604.0,340622.0
2378,0.0,0.234375,0.03125,0.5625,0.171875,341065.0,341115.0
2404,0.0,0.24193548387096775,0.03225806451612903,0.5483870967741935,0.1774193548387097,344079.0,344195.0
2406,0.0,0.25396825396825395,0.031746031746031744,0.5396825396825397,0.1746031746031746,344255.0,344328.0
2449,0.0,0.25,0.03125,0.546875,0.171875,347382.0,347395.0
2457,0.0,0.25396825396825395,0.031746031746031744,0.5555555555555556,0.15873015873015872,347681.0,347723.0
2462,0.25,0.0,0.0,0.5,0.25,347779.0,347785.0
2478,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,348201.0,348244.0
2485,0.0,0.043478260869565216,0.0,0.08695652173913043,0.8695652173913043,348410.0,348431.0
2497,0.0,0.04,0.0,0.08,0.88,348894.0,348904.0
2533,0.0,0.041666666666666664,0.0,0.08333333333333333,0.875,350173.0,350181.0
2559,0.0,0.0,0.0,0.9375,0.0625,352036.0,352119.0
2681,0.0,0.0,0.0,0.9411764705882353,0.058823529411764705,359780.0,359906.0
2741,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555,366926.0,366927.0
2744,0.0,0.0,0.0,0.894736842105263,0.10526315789473684,367009.0,367121.0
2808,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,371738.0,371782.0
2847,0.0,0.0,0.0,0.8823529411764706,0.11764705882352941,374238.0,374384.0
2856,0.0,0.0,0.0,0.9333333333333333,0.06666666666666667,375047.0,375060.0
2918,0.0,0.0,0.0,0.9,0.1,378964.0,378968.0
2921,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,379047.0,379050.0
2924,0.0,0.0,0.0,0.875,0.125,379054.0,379116.0
3125,0.0,0.0,0.0,1.0,0.0,395837.0,395883.0
3396,0.03333333333333333,0.0,0.0,0.9666666666666667,0.0,417385.0,417454.0
3564,0.034482758620689655,0.0,0.0,0.9655172413793103,0.0,439188.0,439211.0
3605,0.03571428571428571,0.0,0.0,0.9642857142857142,0.0,442965.0,443099.0
3620,0.038461538461538464,0.0,0.0,0.9615384615384616,0.0,444083.0,444588.0
3651,0.027777777777777776,0.0,0.0,0.9722222222222222,0.0,447453.0,447486.0
3687,0.047619047619047616,0.0,0.047619047619047616,0.9047619047619047,0.0,449901.0,449918.0
3708,0.04878048780487805,0.0,0.04878048780487805,0.9024390243902439,0.0,451817.0,451818.0
3767,0.046511627906976744,0.0,0.046511627906976744,0.9069767441860465,0.0,456565.0,456582.0
3807,0.044444444444444446,0.0,0.044444444444444446,0.888888888888889,0.022222222222222223,459820.0,459831.0
3834,0.043478260869565216,0.0,0.043478260869565216,0.8913043478260869,0.021739130434782608,463600.0,463608.0
3944,0.044444444444444446,0.0,0.044444444444444446,0.888888888888889,0.022222222222222223,482178.0,482460.0
4026,0.043478260869565216,0.0,0.043478260869565216,0.8913043478260869,0.021739130434782608,486920.0,486936.0
4104,0.044444444444444446,0.0,0.022222222222222223,0.9111111111111111,0.022222222222222223,496398.0,496426.0
4143,0.022727272727272728,0.0,0.022727272727272728,0.9318181818181819,0.022727272727272728,501861.0,501872.0
4152,0.022222222222222223,0.0,0.022222222222222223,0.9333333333333333,0.022222222222222223,502633.0,502793.0
4176,0.023255813953488372,0.0,0.0,0.9534883720930233,0.023255813953488372,504789.0,504892.0
4177,0.046511627906976744,0.0,0.0,0.9302325581395349,0.023255813953488372,504892.0,504904.0
4282,0.047619047619047616,0.0,0.0,0.9285714285714285,0.023809523809523808,517161.0,517428.0
4357,0.046511627906976744,0.023255813953488372,0.0,0.9069767441860465,0.023255813953488372,527000.0,527120.0
4406,1.0,0.0,0.0,0.0,0.0,531221.0,531236.0
4941,0.8157894736842105,0.02631578947368421,0.0,0.10526315789473684,0.05263157894736842,574734.0,574824.0
4951,0.8205128205128205,0.02564102564102564,0.0,0.10256410256410256,0.05128205128205128,575388.0,575464.0
4997,0.8250000000000001,0.025,0.0,0.1,0.05,579424.0,579502.0
5071,0.5147058823529411,0.029411764705882353,0.0,0.4117647058823529,0.044117647058823525,586967.0,587065.0
5078,0.5072463768115942,0.043478260869565216,0.0,0.4057971014492754,0.043478260869565216,587448.0,587459.0
5080,0.5147058823529411,0.044117647058823525,0.0,0.39705882352941174,0.044117647058823525,587670.0,587757.0
5106,0.5223880597014925,0.04477611940298507,0.0,0.40298507462686567,0.029850746268656716,590900.0,590902.0
5114,0.5,0.04285714285714286,0.0,0.42857142857142855,0.02857142857142857,591492.0,591548.0
5128,0.4852941176470588,0.044117647058823525,0.0,0.4411764705882353,0.029411764705882353,592525.0,592801.0
5150,0.4927536231884058,0.043478260869565216,0.0,0.43478260869565216,0.028985507246376812,594610.0,594618.0
5153,0.4857142857142857,0.04285714285714286,0.0,0.44285714285714284,0.02857142857142857,594735.0,594776.0
5156,0.4722222222222222,0.041666666666666664,0.013888888888888888,0.4305555555555555,0.041666666666666664,594809.0,594910.0
5174,0.4657534246575342,0.0410958904109589,0.0136986301369863,0.4246575342465753,0.0547945205479452,596022.0,596115.0
