left,AFR,AMR,EAS,EUR,SAS,right
0.0,0.01937431895875082,0.8406220584049474,0.026474571105737848,0.08773956120099019,0.025789490329573648,130192.0
130192.0,0.0,0.22709826776022377,0.6339313595461779,0.04953429528637543,0.08943607740722291,288354.0
288354.0,0.022521612725125276,0.7450330917553656,0.060783649108584296,0.10108372295642977,0.07057792345449505,347779.0
347779.0,0.11713250336321253,0.32321348004425227,0.07350447775953392,0.4854696857636708,0.0006798530693305921,348410.0
348410.0,0.05781130698566838,0.008060704562692835,0.303247051781122,0.03212679656704729,0.5987541401034695,352036.0
352036.0,0.012778747462168507,0.8684398090954555,0.10024177709476667,0.0,0.01853966634760922,399245.0
399245.0,0.014078879104436958,0.876065481474571,0.07117284958385407,0.008554187529958573,0.030128602307179307,531221.0
531221.0,0.0,0.09112536570144522,0.9088746342985549,0.0,0.0,574734.0
574734.0,0.007837785357345512,0.2129115214689998,0.7090560968062207,0.019306284294170476,0.05088831207326336,600131.0
600131.0,0.0026929126546530943,0.7239243214976048,0.04108646725862958,0.15338850030179194,0.07890779828732059,648308.0
648308.0,0.22880612255403426,0.22168435751837023,0.011948695438128194,0.38864703124078687,0.14891379324868056,648640.0
648640.0,0.9188699225078565,0.011030918779645137,0.0,0.005502039780601588,0.06459711893189671,652239.0
652239.0,0.03511912679351879,0.7362433914234419,0.03249763995771745,0.10215898896145503,0.0939808528638668,739529.0
739529.0,0.10340125811903007,0.25448257951025094,0.13585020116998908,0.2542645072890331,0.25200145391169676,759868.0
759868.0,0.03396192429070869,0.4214221881782204,0.2940998449522136,0.23057937776500118,0.019936664813856232,813770.0
813770.0,0.005325424413124569,0.772607413224963,0.08179990671833946,0.06426850547037743,0.07599875017319555,900015.0
900015.0,0.0347742519873009,0.20326936935127982,0.3194543539905537,0.2028033046198192,0.23969872005104623,929052.0
929052.0,0.9583822556198365,0.04161774438016353,0.0,0.0,0.0,931075.0
931075.0,0.04401287588891261,0.1663658460477262,0.7417407085023568,0.007922613279902775,0.03995795628110168,934340.0
934340.0,0.008454468186695261,0.7863437401508057,0.14132693206604405,0.0211097421725961,0.042765117423858835,1009679.0
1009679.0,0.059704990377141644,0.7553851786444985,0.07552680989030136,0.06727268811562309,0.04211033297243535,1174773.0
1174773.0,0.4543070909534354,0.1555802703741934,0.005138270409611591,0.20111195643349858,0.1838624118292611,1174881.0
1174881.0,0.018969608867057848,0.4016084510092668,0.5349667292465566,0.017459181424421558,0.026996029452697252,1253400.0
1253400.0,0.00018433444695015278,0.129253961288075,0.8200582936549209,0.0,0.05050341061005401,1324903.0
1324903.0,0.045497175554506525,0.8992071939986414,0.012760868322628328,0.017887333157725668,0.02464742896649824,1488292.0
1488292.0,0.0,0.7455922255217722,0.16752333751520634,0.07406481860861602,0.012819618354405492,1505671.0
1505671.0,0.9695163311274339,0.008491304395753798,0.012564073356874358,0.008986253853587556,0.00044203726635041833,1505806.0
1505806.0,0.018536501889041254,0.22250034114564868,0.27676331074823857,0.2876936802474699,0.1945061659696015,1508001.0
1508001.0,0.5,0.5,0.0,0.0,0.0,1508053.0
1508053.0,0.00402530973599792,0.4052957995257046,0.36461370327896553,0.10218411961160025,0.12388106784773176,1689557.0
1689557.0,0.26431030846743764,0.040887052523320214,0.47567132121372036,0.10589319428661095,0.1132381235089108,1776722.0
1776722.0,0.014548659632553097,0.9333467016055776,0.021832733742626356,0.00747846970707427,0.022793435312168563,1900252.0
1900252.0,0.8166524179903984,0.04034119102991026,0.00899161221280946,0.03495907740319369,0.09905570136368799,1906049.0
1906049.0,0.8084944660746314,0.12068003849687212,0.012845050089680213,0.005741720985169955,0.05223872435364626,1908511.0
1908511.0,0.017675219713825643,0.8952970933796472,0.006860514125514539,0.07407953631805597,0.006087636462956573,2083111.0
2083111.0,0.026586733953232963,0.5120807127578554,0.1634237197977062,0.13593588984884614,0.16197294364235926,2286642.0
2286642.0,0.037144527796001026,0.18304418705171718,0.05816184585544807,0.09434206513415845,0.6273073741626752,2338646.0
2338646.0,0.00844966887299983,0.8277832016555465,0.05341447611831705,0.0301293705489043,0.08022328280423233,2574346.0
2574346.0,0.017707362534948742,0.0972997125812139,0.6764263917240713,0.062185961037306135,0.14638057212245986,2628236.0
2628236.0,0.019158712644269535,0.7985343896434326,0.07527495697983266,0.06476774622097804,0.042264194511487205,2690076.0
2690076.0,0.0013461485540889298,0.9038830073497726,0.0589874069150332,0.020385710569266226,0.015397726611839128,2794706.0
2794706.0,0.00860668542305562,0.1033429467340245,0.8680711679125409,0.0032969051174208228,0.01668229481295814,2823410.0
2823410.0,0.0,0.9823823733125929,0.00016798817363257627,0.0008168329926948707,0.01663280552107955,2992989.0
2992989.0,0.0,1.0,0.0,0.0,0.0,3074169.0
3074169.0,0.0,0.1620035524249784,0.8226935470639074,0.015302900511114208,0.0,3085337.0
3085337.0,0.07613156163382548,0.7715659013798538,0.013323422519707707,0.10087975270836237,0.038099361758250516,3542521.0
3542521.0,0.0,0.5,0.0,0.5,0.0,3543114.0
3543114.0,0.0,0.10222570590058148,0.6714577371078583,0.0,0.22631655699156017,3565546.0
3565546.0,0.05460754032303531,0.9395253744938428,0.0026218286683009247,0.0,0.0032452565148209963,3636704.0
3636704.0,0.037859346653857165,0.5558741880889159,0.3576079226940114,0.03574457121598936,0.012913971347225973,3655969.0
